the_geom,name,code,capacity,lon,lat,cartodb_id,created_at,updated_at
0101000020E6100000DF4F8D976EAE62401D5A643BDF9F41C0,Capital Wind Farm,CAPTL_WF,132300,149.451,-35.249,1,2014-10-16 02:02:03.42128+00,2014-10-16 02:02:03.42128+00
0101000020E61000008599B67FE5F260402BA7FB08156E41C0,Cathedral Rocks,CATHROCK,66000,135.590515,-34.86001694,2,2014-10-16 02:02:03.42128+00,2014-10-16 02:02:03.42128+00
0101000020E6100000931804560E4161401904560E2DC240C0,Clements Gap,CLEMGPWF,57000,138.033,-33.517,3,2014-10-16 02:02:03.42128+00,2014-10-16 02:02:03.42128+00
0101000020E6100000736891ED7CAB6240FA7E6ABC746341C0,Cullerin Range,CULLRGWF,30000,149.359,-34.777,4,2014-10-16 02:02:03.42128+00,2014-10-16 02:02:03.42128+00
0101000020E61000007F6ABC7493A862406ABC7493186441C0,Gunning,GUNNING1,46500,149.268,-34.782,5,2014-10-16 02:02:03.42128+00,2014-10-16 02:02:03.42128+00
0101000020E610000043FF04172BB1624049641F64595241C0,Gullen Range Wind Farm,GULLRWF1,166000,149.53651,-34.643353,6,2014-10-16 02:02:03.42128+00,2014-10-16 02:02:03.42128+00
0101000020E61000006ABC749318586140B0726891EDAC40C0,Hallett 1,HALLWF1,94500,138.753,-33.351,7,2014-10-16 02:02:03.42128+00,2014-10-16 02:02:03.42128+00
0101000020E6100000F853E3A59B5C614014AE47E17AB440C0,Hallett 2,HALLWF2,71000,138.894,-33.41,8,2014-10-16 02:02:03.42128+00,2014-10-16 02:02:03.42128+00
0101000020E61000000000000000586140B81E85EB519840C0,Hallett 4,NBHWF1,132000,138.75,-33.19,9,2014-10-16 02:02:03.42128+00,2014-10-16 02:02:03.42128+00
0101000020E6100000D578E92631046240BA490C022BA742C0,Hepburn,HEPWIND1,4000,144.131,-37.306,10,2014-10-16 02:02:03.42128+00,2014-10-16 02:02:03.42128+00
0101000020E6100000FCA9F1D24D8A6140B29DEFA7C6DB42C0,Lake Bonney 1,LKBONNY1,80500,140.322,-37.717,11,2014-10-16 02:02:03.42128+00,2014-10-16 02:02:03.42128+00
