"Num";"Name";"Latitude";"Longitude";"X (Lambert II)";"Y (Lambert II)";"Altitude"
22016001;"ILE-DE-BREHAT";48.855167;-3.0045;208083;2441852;25
22092001;"KERPERT";48.404;-3.147667;194096;2392507;281
22113006;"LANNAERO";48.755333;-3.468667;173267;2433190;85
22135001;"LOUARGAT";48.551667;-3.376833;178359;2410097;148
22147006;"MERDRIGNAC";48.182667;-2.410833;247067;2364385;131
22168001;"PLOUMANAC'H";48.825833;-3.473167;173516;2441036;55
22219003;"PLOUGUENAST";48.265833;-2.748333;222612;2375184;235
22247002;"POMMERIT-JAUDY";48.742;-3.251;189132;2430550;55
22261002;"QUINTENIC";48.519167;-2.42;248650;2401785;71
22266001;"ROSTRENEN";48.2315;-3.307667;180898;2374209;262
22282001;"SAINT-CAST-LE-G";48.6445;-2.247;262226;2414944;35
22372001;"ST BRIEUC";48.534667;-2.852;216903;2405524;135
29021001;"BRIGNOGAN";48.6765;-4.331;109284;2429479;9
29022001;"CAMARET";48.283333;-4.633333;83219;2387848;36
29058003;"BEG_MEIL";47.8545;-3.976167;128003;2336195;8
29075001;"BREST-GUIPAVAS";48.444167;-4.412;101121;2404239;94
29082001;"BATZ";48.746333;-4.011833;133346;2435278;32
29120001;"LANVEOC";48.279333;-4.439333;97527;2386147;81
29151004;"MORLAIX_AERO";48.601;-3.8145;146556;2418006;86
29155005;"OUESSANT-STIFF";48.473333;-5.057;53884;2411758;64
29158001;"PTE DE PENMARCH";47.7975;-4.374833;97728;2332350;3
29163003;"PLEYBER-CHRIST SA";48.5;-3.8535;142803;2407031;147
29168001;"PTE DU RAZ";48.038833;-4.732;73481;2361420;67
29178001;"PLOUDALMEZEAU";48.548;-4.664167;83558;2417373;40
29190001;"PLOUGONVELIN";48.33;-4.771667;73459;2393936;22
29214001;"PLOVAN";47.915167;-4.361167;99862;2345299;10
29216001;"QUIMPER";47.972667;-4.1725;114445;2350487;90
29236001;"RIEC SUR BELON";47.879;-3.709167;148134;2337342;77
29263002;"ST-SEGAL S A";48.227667;-4.098;122309;2378293;63
29264001;"LANDIVISIAU";48.525667;-4.147167;121399;2411625;109
29276001;"SIBIRIL S A";48.660333;-4.0775;127750;2426134;58
29277001;"SIZUN";48.391333;-4.0205;129520;2395968;157
29278001;"SPEZET";48.1735;-3.7295;149142;2370111;138
29293001;"TREGUNC";47.841333;-3.868833;135895;2334097;25
35228001;"DINARD";48.589;-2.075833;274478;2408058;58
44069002;"GUERANDE";47.292333;-2.430167;239631;2265660;4
44103001;"ST NAZAIRE-MONTOIR";47.313833;-2.1545;260582;2266819;3
44168001;"SAINT-JOACHIM_SAE";47.3815;-2.1925;258147;2274494;3
44184001;"PTE DE CHEMOULIN";47.233667;-2.2985;249188;2258554;14
56004001;"ARZAL";47.512667;-2.382667;244687;2289894;26
56007001;"AURAY";47.659167;-2.971;201560;2308970;26
56009001;"BELLE ILE-LE TALUT";47.294333;-3.218333;180161;2269794;34
56017003;"BIGNAN";47.884333;-2.728833;221324;2332754;112
56069001;"ILE DE GROIX";47.652333;-3.502333;161691;2311040;41
56081003;"GUISCRIFF SA";48.05;-3.664167;152940;2356044;165
56137001;"VANNES-MEUCON";47.722;-2.727;220299;2314733;132
56159001;"PLEUCADEUC";47.7655;-2.387167;246038;2317974;65
56165003;"PLOERMEL";47.950833;-2.3975;246505;2338591;65
56166005;"PLOUAY-SA";47.916167;-3.3445;175636;2339431;75
56178003;"PONTIVY";48.063667;-2.945833;206467;2353719;83
56185001;"LORIENT-LANN BIHOUE";47.762833;-3.435667;167588;2322923;45
56240003;"SARZEAU SA";47.511667;-2.797;213531;2291738;37
56243001;"VANNES-SENE";47.6045;-2.714167;220421;2301634;3
56251001;"THEIX";47.6415;-2.621333;227647;2305295;29
85163001;"NOIRMOUTIER EN";47.004667;-2.257167;250825;2232958;3
